,label,run,error,n,d,rho,ratio,time
29,"PLAN(oracle), clipped",0,1.5285539754183683,4096,256,0.0625,0.75,-0.7475607395172119
30,"PLAN(paper), unclipped",0,1.5848639854839333,4096,256,0.0625,0.75,0.4634881019592285
31,"PLAN(paper), clipped",0,1.5938086005595438,4096,256,0.0625,0.75,-0.4634881019592285
32,"PLAN(noscale), unclipped",0,1.7469461510002238,4096,256,0.0625,0.75,0.4626340866088867
33,"PLAN(noscale), clipped",0,1.7560062060989259,4096,256,0.0625,0.75,-0.4626340866088867
34,"instance optimal, unclipped",0,1.6101371390742814,4096,256,0.0625,0.75,0.2852771282196045
35,"instance optimal, clipped",0,1.6129113465287486,4096,256,0.0625,0.75,0.2852771282196045
36,Empirical mean (non-private),0,0.7735595703125,4096,256,0.0625,1.0,0.0
37,"PLAN(oracle), unclipped",0,1.9520026543591424,4096,256,0.0625,1.0,0.6434988975524902
38,"PLAN(oracle), clipped",0,1.9469170262854048,4096,256,0.0625,1.0,-0.6434988975524902
39,"PLAN(paper), unclipped",0,2.0242601578481425,4096,256,0.0625,1.0,0.614948034286499
40,"PLAN(paper), clipped",0,2.02566689157053,4096,256,0.0625,1.0,-0.614948034286499
41,"PLAN(noscale), unclipped",0,1.9239436454441443,4096,256,0.0625,1.0,0.6165220737457275
42,"PLAN(noscale), clipped",0,1.9251175393932065,4096,256,0.0625,1.0,-0.6165220737457275
43,"instance optimal, unclipped",0,1.8971426301174743,4096,256,0.0625,1.0,0.2742502689361572
44,"instance optimal, clipped",0,1.901444708767524,4096,256,0.0625,1.0,0.2742502689361572
45,Empirical mean (non-private),1,0.16131347656249997,4096,256,0.0625,0.0,0.0
46,"PLAN(oracle), unclipped",1,0.3440820372572156,4096,256,0.0625,0.0,0.030411243438720703
47,"PLAN(oracle), clipped",1,0.3417232070075152,4096,256,0.0625,0.0,-0.030411243438720703
48,"PLAN(paper), unclipped",1,0.3746540888911344,4096,256,0.0625,0.0,0.03292083740234375
49,"PLAN(paper), clipped",1,0.3751950821828054,4096,256,0.0625,0.0,-0.03292083740234375
50,"PLAN(noscale), unclipped",1,0.3799737930113278,4096,256,0.0625,0.0,0.02848219871520996
51,"PLAN(noscale), clipped",1,0.3789787767356326,4096,256,0.0625,0.0,-0.02848219871520996
52,"instance optimal, unclipped",1,0.364522373786361,4096,256,0.0625,0.0,0.28565263748168945
53,"instance optimal, clipped",1,0.3670529148914371,4096,256,0.0625,0.0,0.28565263748168945
54,Empirical mean (non-private),1,0.298857421875,4096,256,0.0625,0.25,0.0
55,"PLAN(oracle), unclipped",1,0.8005803819639569,4096,256,0.0625,0.25,0.22428297996520996
56,"PLAN(oracle), clipped",1,0.7963960225112943,4096,256,0.0625,0.25,-0.22428297996520996
57,"PLAN(paper), unclipped",1,0.8408846151723421,4096,256,0.0625,0.25,0.21015501022338867
58,"PLAN(paper), clipped",1,0.8447866616408486,4096,256,0.0625,0.25,-0.21015501022338867
59,"PLAN(noscale), unclipped",1,1.0307093885439045,4096,256,0.0625,0.25,0.1644880771636963
60,"PLAN(noscale), clipped",1,1.0323898918222283,4096,256,0.0625,0.25,-0.1644880771636963
61,"instance optimal, unclipped",1,1.021215120144145,4096,256,0.0625,0.25,0.2579190731048584
62,"instance optimal, clipped",1,1.0186188813841934,4096,256,0.0625,0.25,0.2579190731048584
63,Empirical mean (non-private),1,0.4674365234375,4096,256,0.0625,0.5,0.0
64,"PLAN(oracle), unclipped",1,1.1524865570861533,4096,256,0.0625,0.5,0.31904125213623047
65,"PLAN(oracle), clipped",1,1.1770442833387205,4096,256,0.0625,0.5,-0.31904125213623047
66,"PLAN(paper), unclipped",1,1.2346014813394715,4096,256,0.0625,0.5,0.3160440921783447
67,"PLAN(paper), clipped",1,1.2425448539099648,4096,256,0.0625,0.5,-0.3160440921783447
68,"PLAN(noscale), unclipped",1,1.4161446193964862,4096,256,0.0625,0.5,0.31830310821533203
69,"PLAN(noscale), clipped",1,1.4146742022528134,4096,256,0.0625,0.5,-0.31830310821533203
70,"instance optimal, unclipped",1,1.426756204057189,4096,256,0.0625,0.5,0.274768590927124
71,"instance optimal, clipped",1,1.4250223376089024,4096,256,0.0625,0.5,0.274768590927124
72,Empirical mean (non-private),1,0.714599609375,4096,256,0.0625,0.75,0.0
73,"PLAN(oracle), unclipped",1,1.5526181511966723,4096,256,0.0625,0.75,0.699091911315918
74,"PLAN(oracle), clipped",1,1.5445251258065236,4096,256,0.0625,0.75,-0.699091911315918
75,"PLAN(paper), unclipped",1,1.6156966332180636,4096,256,0.0625,0.75,0.4642980098724365
76,"PLAN(paper), clipped",1,1.6209568819834714,4096,256,0.0625,0.75,-0.4642980098724365
77,"PLAN(noscale), unclipped",1,1.93342719009924,4096,256,0.0625,0.75,0.4609816074371338
78,"PLAN(noscale), clipped",1,1.9352160251923243,4096,256,0.0625,0.75,-0.4609816074371338
79,"instance optimal, unclipped",1,1.6106658839340104,4096,256,0.0625,0.75,0.2994120121002197
80,"instance optimal, clipped",1,1.6062757282291635,4096,256,0.0625,0.75,0.2994120121002197
81,Empirical mean (non-private),1,0.8231201171875,4096,256,0.0625,1.0,0.0
82,"PLAN(oracle), unclipped",1,2.0628422615011126,4096,256,0.0625,1.0,0.7094035148620605
83,"PLAN(oracle), clipped",1,2.0667384782860854,4096,256,0.0625,1.0,-0.7094035148620605
84,"PLAN(paper), unclipped",1,2.0482966509879916,4096,256,0.0625,1.0,0.6634941101074219
85,"PLAN(paper), clipped",1,2.0321116493267253,4096,256,0.0625,1.0,-0.6634941101074219
86,"PLAN(noscale), unclipped",1,1.8890758429359176,4096,256,0.0625,1.0,0.6601531505584717
87,"PLAN(noscale), clipped",1,1.890138668014222,4096,256,0.0625,1.0,-0.6601531505584717
88,"instance optimal, unclipped",1,1.782469133539783,4096,256,0.0625,1.0,0.31867003440856934
89,"instance optimal, clipped",1,1.7859809210187363,4096,256,0.0625,1.0,0.31867003440856934
90,Empirical mean (non-private),2,0.16146484375000003,4096,256,0.0625,0.0,0.0
91,"PLAN(oracle), unclipped",2,0.3525710987925794,4096,256,0.0625,0.0,0.029918193817138672
92,"PLAN(oracle), clipped",2,0.35285515120167593,4096,256,0.0625,0.0,-0.029918193817138672
93,"PLAN(paper), unclipped",2,0.36784464512798576,4096,256,0.0625,0.0,0.028805971145629883
94,"PLAN(paper), clipped",2,0.3701840632684227,4096,256,0.0625,0.0,-0.028805971145629883
95,"PLAN(noscale), unclipped",2,0.37852650254109355,4096,256,0.0625,0.0,0.027893781661987305
96,"PLAN(noscale), clipped",2,0.378733567479147,4096,256,0.0625,0.0,-0.027893781661987305
97,"instance optimal, unclipped",2,0.3813176862214832,4096,256,0.0625,0.0,0.27355122566223145
98,"instance optimal, clipped",2,0.3806546548106211,4096,256,0.0625,0.0,0.27355122566223145
99,Empirical mean (non-private),2,0.31427734375,4096,256,0.0625,0.25,0.0
100,"PLAN(oracle), unclipped",2,0.8154979716940292,4096,256,0.0625,0.25,0.22577428817749023
101,"PLAN(oracle), clipped",2,0.8269655386401603,4096,256,0.0625,0.25,-0.22577428817749023
102,"PLAN(paper), unclipped",2,0.865014939170253,4096,256,0.0625,0.25,0.17810440063476562
103,"PLAN(paper), clipped",2,0.8656427031954637,4096,256,0.0625,0.25,-0.17810440063476562
104,"PLAN(noscale), unclipped",2,0.9539961024592963,4096,256,0.0625,0.25,0.17422866821289062
105,"PLAN(noscale), clipped",2,0.9414057509847958,4096,256,0.0625,0.25,-0.17422866821289062
106,"instance optimal, unclipped",2,0.9125417000004523,4096,256,0.0625,0.25,0.28408265113830566
107,"instance optimal, clipped",2,0.9140908844702396,4096,256,0.0625,0.25,0.28408265113830566
108,Empirical mean (non-private),2,0.4260888671875,4096,256,0.0625,0.5,0.0
109,"PLAN(oracle), unclipped",2,1.1531871564835483,4096,256,0.0625,0.5,0.39793848991394043
110,"PLAN(oracle), clipped",2,1.1550596997901839,4096,256,0.0625,0.5,-0.39793848991394043
111,"PLAN(paper), unclipped",2,1.209577519374363,4096,256,0.0625,0.5,0.3188512325286865
112,"PLAN(paper), clipped",2,1.2076033646302293,4096,256,0.0625,0.5,-0.3188512325286865
113,"PLAN(noscale), unclipped",2,1.4194468501948045,4096,256,0.0625,0.5,0.3191657066345215
114,"PLAN(noscale), clipped",2,1.415092437168801,4096,256,0.0625,0.5,-0.3191657066345215
115,"instance optimal, unclipped",2,1.3136791104478667,4096,256,0.0625,0.5,0.3128032684326172
116,"instance optimal, clipped",2,1.310968541693847,4096,256,0.0625,0.5,0.3128032684326172
117,Empirical mean (non-private),2,0.6400439453125,4096,256,0.0625,0.75,0.0
118,"PLAN(oracle), unclipped",2,1.5458162989686612,4096,256,0.0625,0.75,0.663048267364502
119,"PLAN(oracle), clipped",2,1.543289961402457,4096,256,0.0625,0.75,-0.663048267364502
120,"PLAN(paper), unclipped",2,1.6593751166001598,4096,256,0.0625,0.75,0.47910046577453613
121,"PLAN(paper), clipped",2,1.6576258933917616,4096,256,0.0625,0.75,-0.47910046577453613
122,"PLAN(noscale), unclipped",2,1.8052682815819194,4096,256,0.0625,0.75,0.46228694915771484
123,"PLAN(noscale), clipped",2,1.8104083940326108,4096,256,0.0625,0.75,-0.46228694915771484
124,"instance optimal, unclipped",2,1.7300653483486355,4096,256,0.0625,0.75,0.29186439514160156
125,"instance optimal, clipped",2,1.7370347168394717,4096,256,0.0625,0.75,0.29186439514160156
126,Empirical mean (non-private),2,0.81689453125,4096,256,0.0625,1.0,0.0
127,"PLAN(oracle), unclipped",2,1.8538890155451497,4096,256,0.0625,1.0,0.7278456687927246
128,"PLAN(oracle), clipped",2,1.8504741781319338,4096,256,0.0625,1.0,-0.7278456687927246
129,"PLAN(paper), unclipped",2,1.950901351355489,4096,256,0.0625,1.0,0.6179580688476562
130,"PLAN(paper), clipped",2,1.9551357543339274,4096,256,0.0625,1.0,-0.6179580688476562
131,"PLAN(noscale), unclipped",2,2.1209625918664043,4096,256,0.0625,1.0,0.6189212799072266
132,"PLAN(noscale), clipped",2,2.1189016998919437,4096,256,0.0625,1.0,-0.6189212799072266
133,"instance optimal, unclipped",2,1.7237613212968426,4096,256,0.0625,1.0,0.2809410095214844
134,"instance optimal, clipped",2,1.7355576739730711,4096,256,0.0625,1.0,0.2809410095214844
135,Empirical mean (non-private),3,0.16012207031249998,4096,256,0.0625,0.0,0.0
136,"PLAN(oracle), unclipped",3,0.32777149995264054,4096,256,0.0625,0.0,0.03232526779174805
137,"PLAN(oracle), clipped",3,0.32627936296619897,4096,256,0.0625,0.0,-0.03232526779174805
138,"PLAN(paper), unclipped",3,0.3414481917300659,4096,256,0.0625,0.0,0.02920985221862793
139,"PLAN(paper), clipped",3,0.3450845334784389,4096,256,0.0625,0.0,-0.02920985221862793
140,"PLAN(noscale), unclipped",3,0.3260646276090423,4096,256,0.0625,0.0,0.02817988395690918
141,"PLAN(noscale), clipped",3,0.3238362385471181,4096,256,0.0625,0.0,-0.02817988395690918
142,"instance optimal, unclipped",3,0.36442551907441123,4096,256,0.0625,0.0,0.2848038673400879
143,"instance optimal, clipped",3,0.36534861266385776,4096,256,0.0625,0.0,0.2848038673400879
144,Empirical mean (non-private),3,0.3401611328125,4096,256,0.0625,0.25,0.0
145,"PLAN(oracle), unclipped",3,0.7997538674240502,4096,256,0.0625,0.25,0.23724603652954102
146,"PLAN(oracle), clipped",3,0.8034902764377139,4096,256,0.0625,0.25,-0.23724603652954102
147,"PLAN(paper), unclipped",3,0.8693950304756398,4096,256,0.0625,0.25,0.19121265411376953
148,"PLAN(paper), clipped",3,0.8665076570323103,4096,256,0.0625,0.25,-0.19121265411376953
149,"PLAN(noscale), unclipped",3,1.0065050831940177,4096,256,0.0625,0.25,0.1641848087310791
150,"PLAN(noscale), clipped",3,1.0044057921029856,4096,256,0.0625,0.25,-0.1641848087310791
151,"instance optimal, unclipped",3,0.986715133164485,4096,256,0.0625,0.25,0.28698253631591797
152,"instance optimal, clipped",3,0.9931379165080262,4096,256,0.0625,0.25,0.28698253631591797
153,Empirical mean (non-private),3,0.45703125,4096,256,0.0625,0.5,0.0
154,"PLAN(oracle), unclipped",3,1.1433076476928896,4096,256,0.0625,0.5,0.43087220191955566
155,"PLAN(oracle), clipped",3,1.1356382923794592,4096,256,0.0625,0.5,-0.43087220191955566
156,"PLAN(paper), unclipped",3,1.2420666660170343,4096,256,0.0625,0.5,0.35133886337280273
157,"PLAN(paper), clipped",3,1.2457931073952015,4096,256,0.0625,0.5,-0.35133886337280273
158,"PLAN(noscale), unclipped",3,1.4206592605224302,4096,256,0.0625,0.5,0.46695590019226074
159,"PLAN(noscale), clipped",3,1.430126564123813,4096,256,0.0625,0.5,-0.46695590019226074
160,"instance optimal, unclipped",3,1.2359162621453215,4096,256,0.0625,0.5,0.28911423683166504
161,"instance optimal, clipped",3,1.2355607009702392,4096,256,0.0625,0.5,0.28911423683166504
162,Empirical mean (non-private),3,0.6182763671875,4096,256,0.0625,0.75,0.0
163,"PLAN(oracle), unclipped",3,1.4287626307680021,4096,256,0.0625,0.75,0.6030440330505371
164,"PLAN(oracle), clipped",3,1.4306701311108905,4096,256,0.0625,0.75,-0.6030440330505371
165,"PLAN(paper), unclipped",3,1.6380031150841838,4096,256,0.0625,0.75,0.462475061416626
166,"PLAN(paper), clipped",3,1.638159652435696,4096,256,0.0625,0.75,-0.462475061416626
167,"PLAN(noscale), unclipped",3,1.6088386352231594,4096,256,0.0625,0.75,0.4625570774078369
168,"PLAN(noscale), clipped",3,1.6019599394930493,4096,256,0.0625,0.75,-0.4625570774078369
169,"instance optimal, unclipped",3,1.7882849498270121,4096,256,0.0625,0.75,0.27158689498901367
170,"instance optimal, clipped",3,1.7919303549187635,4096,256,0.0625,0.75,0.27158689498901367
171,Empirical mean (non-private),3,0.8321533203125,4096,256,0.0625,1.0,0.0
172,"PLAN(oracle), unclipped",3,1.963644577256761,4096,256,0.0625,1.0,0.6928918361663818
173,"PLAN(oracle), clipped",3,1.964512334577507,4096,256,0.0625,1.0,-0.6928918361663818
174,"PLAN(paper), unclipped",3,1.9100526060445668,4096,256,0.0625,1.0,0.6114089488983154
175,"PLAN(paper), clipped",3,1.913857252971955,4096,256,0.0625,1.0,-0.6114089488983154
176,"PLAN(noscale), unclipped",3,1.9272434722820746,4096,256,0.0625,1.0,0.6080832481384277
177,"PLAN(noscale), clipped",3,1.9233213984151072,4096,256,0.0625,1.0,-0.6080832481384277
178,"instance optimal, unclipped",3,1.9943771834780328,4096,256,0.0625,1.0,0.2796742916107178
179,"instance optimal, clipped",3,1.9890594510639097,4096,256,0.0625,1.0,0.2796742916107178
180,Empirical mean (non-private),4,0.14719726562500002,4096,256,0.0625,0.0,0.0
181,"PLAN(oracle), unclipped",4,0.3586025791723951,4096,256,0.0625,0.0,0.0301516056060791
182,"PLAN(oracle), clipped",4,0.3587059547148282,4096,256,0.0625,0.0,-0.0301516056060791
183,"PLAN(paper), unclipped",4,0.31612456298612673,4096,256,0.0625,0.0,0.02805638313293457
184,"PLAN(paper), clipped",4,0.31772367520846256,4096,256,0.0625,0.0,-0.02805638313293457
185,"PLAN(noscale), unclipped",4,0.3174067847278901,4096,256,0.0625,0.0,0.02771282196044922
186,"PLAN(noscale), clipped",4,0.3232913947134551,4096,256,0.0625,0.0,-0.02771282196044922
187,"instance optimal, unclipped",4,0.3823230963870252,4096,256,0.0625,0.0,0.28446197509765625
188,"instance optimal, clipped",4,0.3831359591083998,4096,256,0.0625,0.0,0.28446197509765625
189,Empirical mean (non-private),4,0.31875000000000003,4096,256,0.0625,0.25,0.0
190,"PLAN(oracle), unclipped",4,0.7566080054450931,4096,256,0.0625,0.25,0.23956704139709473
191,"PLAN(oracle), clipped",4,0.760431472264183,4096,256,0.0625,0.25,-0.23956704139709473
192,"PLAN(paper), unclipped",4,0.8586753952128083,4096,256,0.0625,0.25,0.1878955364227295
193,"PLAN(paper), clipped",4,0.860710199641758,4096,256,0.0625,0.25,-0.1878955364227295
194,"PLAN(noscale), unclipped",4,1.0434202830309705,4096,256,0.0625,0.25,0.1637570858001709
195,"PLAN(noscale), clipped",4,1.045347570293619,4096,256,0.0625,0.25,-0.1637570858001709
196,"instance optimal, unclipped",4,0.9308559148773958,4096,256,0.0625,0.25,0.291776180267334
197,"instance optimal, clipped",4,0.9358646887225068,4096,256,0.0625,0.25,0.291776180267334
198,Empirical mean (non-private),4,0.4454931640625,4096,256,0.0625,0.5,0.0
199,"PLAN(oracle), unclipped",4,1.1533089659989808,4096,256,0.0625,0.5,0.3239121437072754
200,"PLAN(oracle), clipped",4,1.1516063194500625,4096,256,0.0625,0.5,-0.3239121437072754
201,"PLAN(paper), unclipped",4,1.1908503377783215,4096,256,0.0625,0.5,0.45873093605041504
202,"PLAN(paper), clipped",4,1.1889936079440422,4096,256,0.0625,0.5,-0.45873093605041504
203,"PLAN(noscale), unclipped",4,1.2510649239459513,4096,256,0.0625,0.5,0.318190336227417
204,"PLAN(noscale), clipped",4,1.2477985884723326,4096,256,0.0625,0.5,-0.318190336227417
205,"instance optimal, unclipped",4,1.3114827845450905,4096,256,0.0625,0.5,0.2614634037017822
206,"instance optimal, clipped",4,1.3029580522148732,4096,256,0.0625,0.5,0.2614634037017822
207,Empirical mean (non-private),4,0.674873046875,4096,256,0.0625,0.75,0.0
208,"PLAN(oracle), unclipped",4,1.6187855162046552,4096,256,0.0625,0.75,0.5372145175933838
209,"PLAN(oracle), clipped",4,1.6205414462942007,4096,256,0.0625,0.75,-0.5372145175933838
210,"PLAN(paper), unclipped",4,1.6184264945015185,4096,256,0.0625,0.75,0.46544814109802246
211,"PLAN(paper), clipped",4,1.6206079022756033,4096,256,0.0625,0.75,-0.46544814109802246
212,"PLAN(noscale), unclipped",4,1.7058265762700107,4096,256,0.0625,0.75,0.46015167236328125
213,"PLAN(noscale), clipped",4,1.7055874504961834,4096,256,0.0625,0.75,-0.46015167236328125
214,"instance optimal, unclipped",4,1.6682400863607525,4096,256,0.0625,0.75,0.2896256446838379
215,"instance optimal, clipped",4,1.6681893348802483,4096,256,0.0625,0.75,0.2896256446838379
216,Empirical mean (non-private),4,0.7850341796875,4096,256,0.0625,1.0,0.0
217,"PLAN(oracle), unclipped",4,2.107143344046353,4096,256,0.0625,1.0,0.6952419281005859
218,"PLAN(oracle), clipped",4,2.1018976453283758,4096,256,0.0625,1.0,-0.6952419281005859
219,"PLAN(paper), unclipped",4,1.9101012319158759,4096,256,0.0625,1.0,0.6151242256164551
220,"PLAN(paper), clipped",4,1.9074713129895176,4096,256,0.0625,1.0,-0.6151242256164551
221,"PLAN(noscale), unclipped",4,1.9996264701292237,4096,256,0.0625,1.0,0.6119945049285889
222,"PLAN(noscale), clipped",4,2.0073643499969656,4096,256,0.0625,1.0,-0.6119945049285889
223,"instance optimal, unclipped",4,1.8560555248680575,4096,256,0.0625,1.0,0.2927820682525635
224,"instance optimal, clipped",4,1.8585526914423611,4096,256,0.0625,1.0,0.2927820682525635
225,Empirical mean (non-private),5,0.17085449218749998,4096,256,0.0625,0.0,0.0
226,"PLAN(oracle), unclipped",5,0.39354797642428163,4096,256,0.0625,0.0,0.03064274787902832
227,"PLAN(oracle), clipped",5,0.39153800303624076,4096,256,0.0625,0.0,-0.03064274787902832
228,"PLAN(paper), unclipped",5,0.3808145435706093,4096,256,0.0625,0.0,0.028496503829956055
229,"PLAN(paper), clipped",5,0.37646743409387373,4096,256,0.0625,0.0,-0.028496503829956055
230,"PLAN(noscale), unclipped",5,0.34424915807827494,4096,256,0.0625,0.0,0.02826380729675293
231,"PLAN(noscale), clipped",5,0.3426139854537383,4096,256,0.0625,0.0,-0.02826380729675293
232,"instance optimal, unclipped",5,0.4317212873104892,4096,256,0.0625,0.0,0.26627159118652344
233,"instance optimal, clipped",5,0.43153756388760467,4096,256,0.0625,0.0,0.26627159118652344
234,Empirical mean (non-private),5,0.29082031249999996,4096,256,0.0625,0.25,0.0
235,"PLAN(oracle), unclipped",5,0.7596316257398199,4096,256,0.0625,0.25,0.22453665733337402
236,"PLAN(oracle), clipped",5,0.7549673825576115,4096,256,0.0625,0.25,-0.22453665733337402
237,"PLAN(paper), unclipped",5,0.9258933084877545,4096,256,0.0625,0.25,0.22129344940185547
238,"PLAN(paper), clipped",5,0.9242613083534594,4096,256,0.0625,0.25,-0.22129344940185547
239,"PLAN(noscale), unclipped",5,1.0535409882418616,4096,256,0.0625,0.25,0.19633007049560547
240,"PLAN(noscale), clipped",5,1.050313220943726,4096,256,0.0625,0.25,-0.19633007049560547
241,"instance optimal, unclipped",5,0.9532834305458515,4096,256,0.0625,0.25,0.28705430030822754
242,"instance optimal, clipped",5,0.9567959588227156,4096,256,0.0625,0.25,0.28705430030822754
243,Empirical mean (non-private),5,0.4249755859375,4096,256,0.0625,0.5,0.0
244,"PLAN(oracle), unclipped",5,1.197768894969096,4096,256,0.0625,0.5,0.38446998596191406
245,"PLAN(oracle), clipped",5,1.2045656491826608,4096,256,0.0625,0.5,-0.38446998596191406
246,"PLAN(paper), unclipped",5,1.254397277333552,4096,256,0.0625,0.5,0.42996740341186523
247,"PLAN(paper), clipped",5,1.2694403595587098,4096,256,0.0625,0.5,-0.42996740341186523
248,"PLAN(noscale), unclipped",5,1.3652650372656598,4096,256,0.0625,0.5,0.3166975975036621
249,"PLAN(noscale), clipped",5,1.3651432028259767,4096,256,0.0625,0.5,-0.3166975975036621
250,"instance optimal, unclipped",5,1.272562700630996,4096,256,0.0625,0.5,0.28760409355163574
251,"instance optimal, clipped",5,1.2824506121285775,4096,256,0.0625,0.5,0.28760409355163574
252,Empirical mean (non-private),5,0.6797265625,4096,256,0.0625,0.75,0.0
253,"PLAN(oracle), unclipped",5,1.6707239611423612,4096,256,0.0625,0.75,0.5263690948486328
254,"PLAN(oracle), clipped",5,1.6782256554375423,4096,256,0.0625,0.75,-0.5263690948486328
255,"PLAN(paper), unclipped",5,1.5648897648587237,4096,256,0.0625,0.75,0.4624602794647217
256,"PLAN(paper), clipped",5,1.572144357529529,4096,256,0.0625,0.75,-0.4624602794647217
257,"PLAN(noscale), unclipped",5,1.691974246592202,4096,256,0.0625,0.75,0.4601459503173828
258,"PLAN(noscale), clipped",5,1.6933891296040728,4096,256,0.0625,0.75,-0.4601459503173828
259,"instance optimal, unclipped",5,1.5387187423218864,4096,256,0.0625,0.75,0.32108092308044434
260,"instance optimal, clipped",5,1.5426524247241518,4096,256,0.0625,0.75,0.32108092308044434
261,Empirical mean (non-private),5,0.7781982421875,4096,256,0.0625,1.0,0.0
262,"PLAN(oracle), unclipped",5,1.902777750963862,4096,256,0.0625,1.0,0.7479438781738281
263,"PLAN(oracle), clipped",5,1.906421200443438,4096,256,0.0625,1.0,-0.7479438781738281
264,"PLAN(paper), unclipped",5,1.978030311565555,4096,256,0.0625,1.0,0.6154625415802002
265,"PLAN(paper), clipped",5,1.969736029541587,4096,256,0.0625,1.0,-0.6154625415802002
266,"PLAN(noscale), unclipped",5,2.075217763789151,4096,256,0.0625,1.0,0.6177220344543457
267,"PLAN(noscale), clipped",5,2.0753283543690744,4096,256,0.0625,1.0,-0.6177220344543457
268,"instance optimal, unclipped",5,1.7879467427718347,4096,256,0.0625,1.0,0.3377363681793213
269,"instance optimal, clipped",5,1.7885782275062756,4096,256,0.0625,1.0,0.3377363681793213
270,Empirical mean (non-private),6,0.1481640625,4096,256,0.0625,0.0,0.0
271,"PLAN(oracle), unclipped",6,0.3484699059158154,4096,256,0.0625,0.0,0.035840749740600586
272,"PLAN(oracle), clipped",6,0.34721398216159527,4096,256,0.0625,0.0,-0.035840749740600586
273,"PLAN(paper), unclipped",6,0.3157908919270577,4096,256,0.0625,0.0,0.028339624404907227
274,"PLAN(paper), clipped",6,0.31979258845115877,4096,256,0.0625,0.0,-0.028339624404907227
275,"PLAN(noscale), unclipped",6,0.33747681122064266,4096,256,0.0625,0.0,0.028677940368652344
276,"PLAN(noscale), clipped",6,0.3399360842396364,4096,256,0.0625,0.0,-0.028677940368652344
277,"instance optimal, unclipped",6,0.3711743320948633,4096,256,0.0625,0.0,0.3053145408630371
278,"instance optimal, clipped",6,0.371659021474304,4096,256,0.0625,0.0,0.3053145408630371
279,Empirical mean (non-private),6,0.33145996093749996,4096,256,0.0625,0.25,0.0
280,"PLAN(oracle), unclipped",6,0.734855241024532,4096,256,0.0625,0.25,0.21107149124145508
281,"PLAN(oracle), clipped",6,0.7315182350709959,4096,256,0.0625,0.25,-0.21107149124145508
282,"PLAN(paper), unclipped",6,0.838286773861594,4096,256,0.0625,0.25,0.18344926834106445
283,"PLAN(paper), clipped",6,0.8410063702725687,4096,256,0.0625,0.25,-0.18344926834106445
284,"PLAN(noscale), unclipped",6,1.04503103928089,4096,256,0.0625,0.25,0.16382551193237305
285,"PLAN(noscale), clipped",6,1.0466721265907992,4096,256,0.0625,0.25,-0.16382551193237305
